FID,city_jjk,countrynam,longitude,latitude,mortality
244,KIBWORTH HARCOURT,United Kingdom,-0.998679399490000,52.544013977100001,70.000000000000000
245,LEICESTER,United Kingdom,-1.139759200000000,52.636877800000001,50.000000000000000
246,LICHFIELD,United Kingdom,-1.831672000000000,52.681601999999998,37.037036895800000
247,LINCOLN,United Kingdom,-0.540579000000000,53.230688000000001,60.000000000000000
248,LLANBERIS,United Kingdom,-4.127549171450000,53.118034362800003,50.000000000000000
249,LONDON,United Kingdom,-0.125487200000000,51.508515000000003,42.500000000000000
250,MELLS,United Kingdom,-2.394459247590000,51.237064361599998,67.000000000000000
251,NEWPORT,United Kingdom,-2.997664000000000,51.584150999999999,50.000000000000000
252,NORTHAMPTON,United Kingdom,-0.902656000000000,52.240476999999998,33.000000000000000
253,NORWICH,United Kingdom,1.297355000000000,52.630885900000003,42.500000000000000
254,NOTTINGHAM,United Kingdom,-1.158108600000000,52.954783200000001,33.333332061800000
255,OXFORD,United Kingdom,-1.257726300000000,51.752020899999998,43.000000000000000
256,PLYMOUTH,United Kingdom,-4.142656500000000,50.375456499999999,51.851852417000003
257,QUOB,United Kingdom,-1.174319744110000,52.355518341100002,100.000000000000000
258,READING,United Kingdom,-0.978130300000000,51.454264500000001,44.444442748999997
259,ROCHESTER,United Kingdom,-0.498200000000000,51.388300000000001,50.000000000000000
260,SAINT ALBANS,United Kingdom,-0.339435994625000,51.752723693800000,47.000000000000000
261,SHREWSBURY,United Kingdom,-2.755326800000000,52.707302900000002,58.333332061800000
262,STAFFORD,United Kingdom,-2.120660000000000,52.806693000000003,36.111110687299998
263,STOCKTON-ON-TEES,United Kingdom,-1.328982100000000,54.570455099999997,27.777778625500002
264,SWANWICK,United Kingdom,-1.398159980770000,53.075393676799997,64.000000000000000
265,TILGARSLEY,United Kingdom,-1.383009791370000,51.785942077599998,100.000000000000000
266,TITCHFIELD,United Kingdom,-1.241713047030000,50.848587036100000,72.000000000000000
267,WALSHAMLE-WILLOWS,United Kingdom,0.938768982887000,52.303276062000002,50.000000000000000
268,WARWICK,United Kingdom,-1.584927000000000,52.282316000000002,33.333332061800000
269,WINCHESTER,United Kingdom,-1.310142000000000,51.059770999999998,50.000000000000000
270,WITNEY,United Kingdom,-1.485054373740000,51.785938262899997,66.000000000000000
271,WORCESTER,United Kingdom,-2.220800000000000,52.192500000000003,42.000000000000000
272,WYCOMBE,United Kingdom,-0.807859599590000,51.638511657700001,50.000000000000000
273,YORK,United Kingdom,-1.087297900000000,53.959965099999998,42.500000000000000
